,title,price,link,location
76,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
77,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
78,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
79,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
80,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
81,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
82,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
83,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
84,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
85,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
86,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
87,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
88,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
89,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
90,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
91,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
92,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
93,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
94,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
95,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
96,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
97,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
98,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
99,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
100,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
101,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
102,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
103,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
104,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
105,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
106,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
107,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
108,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
109,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
110,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
111,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
112,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
113,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
114,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
115,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
116,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
117,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
118,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
119,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
120,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
121,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
122,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
123,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
124,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
125,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
126,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
127,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
128,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
129,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
130,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
131,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
132,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
133,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
134,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
135,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
136,2BHK Apartment Flat For Rent In Shastri Nagar Delhi University,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-525-sq-ft-in-shastri-nagar-delhi-iid-1753598093,"Shastri Nagar, Delhi"
137,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
138,1BHK 2BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR NEAR METRO STATION,"₹ 14,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831954,"Shastri Nagar, Delhi"
139,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
140,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
141,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
142,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
143,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
144,"Newly Built 2Bhk & 1Bhk Flat For Rent In Shastri Nagar, Shakti Nagar","₹ 16,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-500-sq-ft-in-shastri-nagar-delhi-iid-1744384791,"Shastri Nagar, Delhi"
145,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
146,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
147,AFFORDABLE 1BHK FLAT FOR RENT IN DELHI SHASTRI NAGAR METRO STATION,"₹ 10,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1721831922,"Shastri Nagar, Delhi"
148,Fully Furnished 2BHK FLAT FOR RENT IN SHASTRI NAGAR DELHI KAROL BAGH,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1772456538,"Shastri Nagar, Delhi"
149,NEW 2BHK 1BHK FLAT AVAILABLE FOR RENT IN SHASTRI NAGAR NORTH CAMPUS,"₹ 15,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-475-sq-ft-in-shastri-nagar-delhi-iid-1726570757,"Shastri Nagar, Delhi"
150,2Bhk & 2 ROOMSET FLAT FOR RENT IN SHASTRI NAGAR & NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-550-sq-ft-in-shastri-nagar-delhi-iid-1740121115,"Shastri Nagar, Delhi"
151,1BHK 2BHK 3BHK  FLAT FOR RENT IN SHASTRI NAGAR KAROL BAGH NORTH CAMPUS,"₹ 13,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-375-sq-ft-in-shastri-nagar-delhi-iid-1723877958,"Shastri Nagar, Delhi"
